Category,Data Point,Default Value,Unit,Recommended Source,Notes
Menu Pricing,Menu price per bowl,13,USD,Best-selling bowl price,Update if average ticket shifts
Menu Pricing,Packaging cost per bowl,0.4,USD,Packaging supplier invoice,Include bowl+lids+fork+napkin bundle
Proteins,Chicken (raw),2.77,USD/lb,Primary poultry vendor,Track trim/butchering losses when yields change
Proteins,Pork (raw),2.28,USD/lb,Primary pork vendor,Verify for shoulder vs belly cuts
Proteins,Gyro blend (raw),3.2,USD/lb,Meat distributor contract,Note if switching to beef-only
Staples,Jasmine rice (dry),0.7952,USD/lb,Rice supplier or wholesaler,Confirm for current pallet pricing
Staples,Slaw mix,1.17,USD/lb,Produce vendor,Differentiate pre-shredded vs whole head costs
Staples,Julienne carrots,0.65,USD/lb,Produce vendor,Adjust if buying pre-cut
Staples,Julienne cucumbers,1.5,USD/lb,Produce vendor,Account for shrink once prepped
Staples,Celery sticks,1.7,USD/lb,Produce vendor,Only needed for Buffalo bowls
Staples,Herb mix,6,USD/lb,Herb supplier farmers market,High variance; update monthly in season
Pickles,Pickled onion base,1.25,USD/qt,Pickling vinegar + spice cost sheet,Recalculate from recipe batch costing
Pickles,Pickled carrot base,1.25,USD/qt,Pickling ingredients vendor,Tie to Buffalo bowl demand
Sauces,House Green Sauce (Peruvian + Aioli Fusion),$14,USD/gal,"Bright, creamy, herby, mild heat","Mayo (8 c), Cilantro (3 bunches), Jalapeños (5–6), Garlic (8–10 cloves), Lime juice (¾ c), White vinegar (⅓ c), Olive oil (½ c), Cumin (2 tsp), Salt (1½ tsp), Cold water (½ c optional)"
Sauces,BBQ Sauce (House),$12,USD/gal,Sweet-smoky classic,"Ketchup (2qt), Brown sugar (2c), Vinegar (2c), Molasses (1c), Worcestershire (½c), Yellow mustard (¼c), Paprika, Garlic, Onion, Chili"
Sauces,Toum Garlic Sauce,$22,USD/gal,"Intense, creamy garlic with lemon","Garlic (3c), Lemon juice (1c), Oil (2qt), Salt (1Tbsp), Ice water (½c)"
Sauces,Buffalo Sauce,$16,USD/gal,"Tangy, buttery cayenne heat","Frank’s RedHot (2qt), Butter (1lb), Vinegar (½c), Garlic powder, Worcestershire"
Sauces,Tzatziki,$20,USD/gal,"Cool, garlicky, fresh","Greek yogurt (2qt), Cucumber (2 large, drained), Olive oil (4Tbsp), Lemon (3Tbsp), Garlic (4 cloves), Dill (3Tbsp), Salt & pepper"
